p1,p2,ptype,fid1,fid2,tags,set,nsamples
F0001/MID1,F0001/MID3,fs,F0001,F0001,0,0,6
F0001/MID1,F0001/MID4,fs,F0001,F0001,0,0,18
F0001/MID2,F0001/MID4,ms,F0001,F0001,0,0,15
F0001/MID2,F0001/MID3,ms,F0001,F0001,0,0,5
F0001/MID3,F0001/MID4,ss,F0001,F0001,0,0,3
F0001/MID3,F0001/MID4,bb,F0001,F0001,0,0,3
F0002/MID1,F0002/MID3,fd,F0002,F0002,1,0,90
F0002/MID2,F0002/MID3,md,F0002,F0002,1,0,81
F0004/MID1,F0004/MID5,fd,F0004,F0004,3,0,108
F0004/MID1,F0004/MID4,fd,F0004,F0004,3,0,90
F0004/MID1,F0004/MID2,fs,F0004,F0004,3,0,126
F0004/MID1,F0004/MID6,fs,F0004,F0004,3,0,54
F0004/MID2,F0004/MID5,ss,F0004,F0004,3,0,42
F0004/MID2,F0004/MID4,sibs,F0004,F0004,3,0,35
F0004/MID2,F0004/MID5,bb,F0004,F0004,3,0,42
F0004/MID2,F0004/MID4,ss,F0004,F0004,3,0,35
F0004/MID2,F0004/MID4,bb,F0004,F0004,3,0,35
F0004/MID2,F0004/MID5,sibs,F0004,F0004,3,0,42
F0004/MID3,F0004/MID4,md,F0004,F0004,3,0,40
F0004/MID3,F0004/MID5,md,F0004,F0004,3,0,48
F0004/MID3,F0004/MID2,ms,F0004,F0004,3,0,56
F0004/MID4,F0004/MID5,ss,F0004,F0004,3,0,30
F0004/MID4,F0004/MID5,bb,F0004,F0004,3,0,30
F0004/MID7,F0004/MID6,ms,F0004,F0004,3,0,9
F0005/MID1,F0005/MID2,md,F0005,F0005,4,0,80
F0005/MID3,F0005/MID2,fd,F0005,F0005,4,0,48
F0009/MID1,F0009/MID2,ss,F0009,F0009,8,0,1176
F0009/MID1,F0009/MID3,ss,F0009,F0009,8,0,630
F0009/MID1,F0009/MID2,bb,F0009,F0009,8,0,1176
F0009/MID1,F0009/MID4,ss,F0009,F0009,8,0,840
F0009/MID1,F0009/MID6,ss,F0009,F0009,8,0,1176
F0009/MID1,F0009/MID6,bb,F0009,F0009,8,0,1176
F0009/MID1,F0009/MID4,bb,F0009,F0009,8,0,840
F0009/MID1,F0009/MID3,bb,F0009,F0009,8,0,630
F0009/MID2,F0009/MID6,ss,F0009,F0009,8,0,784
F0009/MID2,F0009/MID4,ss,F0009,F0009,8,0,560
F0009/MID2,F0009/MID3,ss,F0009,F0009,8,0,420
F0009/MID2,F0009/MID4,bb,F0009,F0009,8,0,560
